,0.05,0.1,0.2,0.3,0.4,0.5
0,0.962,0.915,0.81,0.732,0.709,0.681
1,1.0,0.999,0.987,0.933,0.896,0.834
2,1.0,0.999,0.967,0.904,0.839,0.832
3,1.0,0.974,0.863,0.842,0.793,0.784
4,1.0,0.988,0.903,0.825,0.773,0.731
5,1.0,0.97,0.923,0.887,0.82,0.828
6,1.0,1.0,0.999,0.992,0.986,0.97
7,0.994,0.965,0.94,0.905,0.884,0.87
8,1.0,1.0,0.966,0.939,0.893,0.87
9,1.0,1.0,0.998,0.987,0.966,0.927
10,1.0,1.0,0.995,0.983,0.961,0.94
11,1.0,1.0,0.997,0.955,0.903,0.857
12,1.0,1.0,0.997,0.982,0.946,0.924
13,1.0,1.0,1.0,0.994,0.98,0.952
14,0.954,0.838,0.743,0.718,0.654,0.642
15,1.0,1.0,0.998,0.975,0.964,0.941
16,1.0,1.0,0.98,0.925,0.888,0.835
17,1.0,0.997,0.982,0.976,0.97,0.975
18,1.0,0.995,0.982,0.972,0.957,0.938
19,0.996,0.95,0.869,0.803,0.791,0.752
20,1.0,1.0,0.996,0.955,0.924,0.894
21,1.0,0.992,0.927,0.866,0.835,0.804
22,0.964,0.866,0.768,0.743,0.722,0.692
23,1.0,0.997,0.956,0.916,0.904,0.855
24,0.976,0.913,0.8,0.767,0.712,0.716
25,1.0,0.978,0.909,0.848,0.771,0.765
26,1.0,1.0,0.997,0.979,0.949,0.931
27,1.0,0.981,0.9,0.833,0.76,0.76
28,1.0,0.989,0.909,0.867,0.821,0.791
29,1.0,0.996,0.929,0.846,0.806,0.74
30,1.0,1.0,0.999,0.987,0.968,0.933
31,1.0,0.995,0.912,0.866,0.8,0.736
32,0.912,0.844,0.749,0.732,0.69,0.666
33,1.0,0.994,0.985,0.931,0.896,0.835
34,0.999,0.973,0.878,0.83,0.787,0.78
35,1.0,1.0,1.0,0.995,0.976,0.954
36,1.0,0.996,0.931,0.869,0.852,0.818
37,1.0,1.0,0.998,0.977,0.952,0.906
38,0.997,0.963,0.837,0.751,0.675,0.662
39,0.989,0.944,0.878,0.813,0.736,0.719
40,1.0,0.996,0.938,0.897,0.848,0.82
41,0.991,0.959,0.885,0.832,0.78,0.729
42,1.0,1.0,0.999,0.979,0.947,0.905
43,0.971,0.89,0.76,0.705,0.682,0.634
44,1.0,0.986,0.885,0.819,0.756,0.737
45,0.998,0.981,0.932,0.883,0.842,0.805
46,0.834,0.737,0.65,0.618,0.592,0.587
47,1.0,1.0,0.998,0.992,0.963,0.942
48,0.825,0.738,0.668,0.635,0.628,0.609
49,0.999,0.985,0.947,0.923,0.891,0.874
50,1.0,1.0,0.998,0.984,0.966,0.936
51,1.0,0.998,0.978,0.97,0.942,0.938
52,1.0,0.999,0.976,0.911,0.851,0.804
53,0.999,0.989,0.888,0.796,0.752,0.695
54,1.0,0.974,0.883,0.817,0.751,0.719
55,1.0,0.979,0.895,0.84,0.82,0.796
56,1.0,1.0,1.0,0.996,0.992,0.98
57,1.0,1.0,0.999,0.981,0.976,0.95
58,0.817,0.745,0.591,0.573,0.516,0.522
59,0.956,0.842,0.716,0.711,0.69,0.635
60,1.0,1.0,1.0,0.986,0.957,0.933
61,1.0,0.997,0.987,0.952,0.932,0.884
62,1.0,0.994,0.947,0.869,0.813,0.785
63,1.0,1.0,0.967,0.922,0.888,0.878
64,0.984,0.938,0.88,0.828,0.807,0.771
65,1.0,0.989,0.901,0.832,0.828,0.77
66,0.695,0.593,0.561,0.519,0.489,0.478
67,0.997,0.926,0.786,0.71,0.661,0.645
68,1.0,1.0,1.0,0.993,0.954,0.918
69,1.0,1.0,0.999,0.996,0.986,0.963
70,0.997,0.961,0.871,0.816,0.774,0.748
71,0.998,0.962,0.867,0.796,0.736,0.728
72,1.0,1.0,0.989,0.969,0.944,0.899
73,1.0,1.0,1.0,0.996,0.989,0.978
74,1.0,1.0,0.965,0.91,0.874,0.822
75,1.0,1.0,1.0,0.993,0.981,0.959
76,1.0,0.996,0.919,0.878,0.821,0.783
77,1.0,0.977,0.878,0.813,0.764,0.734
78,1.0,1.0,0.998,0.991,0.985,0.97
79,1.0,0.996,0.944,0.892,0.822,0.825
80,1.0,0.972,0.843,0.767,0.73,0.722
81,1.0,0.997,0.976,0.969,0.963,0.947
82,1.0,0.992,0.921,0.856,0.826,0.777
83,1.0,1.0,0.999,0.993,0.976,0.947
84,0.729,0.718,0.734,0.757,0.74,0.702
85,0.998,0.976,0.92,0.868,0.842,0.816
86,1.0,1.0,0.991,0.972,0.952,0.897
87,1.0,0.999,0.995,0.984,0.974,0.965
88,1.0,1.0,0.972,0.956,0.935,0.909
89,0.992,0.961,0.89,0.815,0.761,0.767
90,1.0,0.998,0.964,0.942,0.909,0.865
91,1.0,1.0,0.998,0.994,0.969,0.941
92,1.0,1.0,0.989,0.965,0.952,0.92
93,1.0,1.0,1.0,1.0,0.997,0.986
94,1.0,1.0,1.0,0.991,0.978,0.945
95,1.0,1.0,0.986,0.947,0.928,0.908
96,1.0,0.988,0.909,0.853,0.813,0.802
97,1.0,0.998,0.975,0.922,0.876,0.866
98,0.975,0.88,0.775,0.701,0.681,0.652
99,1.0,0.999,0.964,0.932,0.907,0.862
100,1.0,1.0,1.0,0.999,0.982,0.969
101,1.0,0.992,0.93,0.857,0.787,0.79
102,0.999,0.977,0.856,0.78,0.729,0.705
103,1.0,0.992,0.919,0.861,0.85,0.819
104,1.0,1.0,1.0,0.995,0.988,0.981
105,0.983,0.933,0.831,0.769,0.744,0.741
106,0.657,0.669,0.677,0.67,0.699,0.698
107,0.998,0.977,0.883,0.822,0.779,0.757
108,1.0,0.996,0.939,0.858,0.843,0.79
109,0.972,0.873,0.771,0.697,0.66,0.632
110,1.0,0.999,0.981,0.955,0.913,0.881
111,1.0,1.0,0.983,0.938,0.892,0.87
112,1.0,1.0,0.999,0.982,0.962,0.902
113,1.0,0.995,0.988,0.955,0.942,0.918
114,0.912,0.867,0.811,0.791,0.729,0.766
115,1.0,0.999,0.99,0.982,0.963,0.95
116,0.999,0.996,0.939,0.876,0.817,0.77
117,1.0,1.0,1.0,1.0,0.996,0.98
118,0.73,0.604,0.598,0.616,0.589,0.598
119,1.0,0.981,0.884,0.808,0.737,0.714
120,1.0,1.0,0.998,0.972,0.947,0.906
121,1.0,1.0,1.0,0.998,0.982,0.963
122,0.898,0.766,0.665,0.652,0.625,0.564
123,1.0,0.997,0.929,0.865,0.817,0.776
124,1.0,0.993,0.941,0.874,0.866,0.815
125,0.778,0.694,0.657,0.659,0.66,0.644
126,0.529,0.648,0.707,0.704,0.694,0.67
127,1.0,1.0,0.983,0.947,0.885,0.893
128,1.0,0.99,0.948,0.888,0.851,0.84
129,1.0,1.0,1.0,0.992,0.973,0.938
130,1.0,0.997,0.983,0.954,0.926,0.895
131,1.0,1.0,0.999,0.988,0.951,0.931
132,1.0,1.0,1.0,0.996,0.992,0.979
133,1.0,1.0,0.999,0.989,0.962,0.922
134,1.0,1.0,0.992,0.955,0.917,0.896
135,1.0,1.0,0.993,0.989,0.964,0.949
136,1.0,0.999,0.977,0.924,0.861,0.818
137,1.0,0.981,0.921,0.829,0.805,0.736
138,1.0,1.0,0.988,0.965,0.936,0.89
139,1.0,1.0,0.999,0.991,0.981,0.944
140,1.0,1.0,1.0,0.999,0.995,0.992
141,1.0,1.0,0.993,0.97,0.931,0.883
142,1.0,1.0,1.0,0.995,0.98,0.95
143,0.748,0.71,0.662,0.644,0.659,0.636
144,1.0,1.0,0.997,0.985,0.973,0.943
145,1.0,1.0,0.958,0.922,0.877,0.837
146,0.973,0.923,0.871,0.831,0.828,0.801
147,0.848,0.794,0.726,0.661,0.695,0.672
148,1.0,1.0,1.0,0.991,0.979,0.948
149,1.0,1.0,0.988,0.979,0.938,0.922
150,0.897,0.928,0.868,0.836,0.798,0.787
151,0.088,0.198,0.379,0.429,0.453,0.496
152,1.0,0.991,0.974,0.943,0.909,0.853
153,0.916,0.894,0.771,0.771,0.696,0.668
154,1.0,1.0,0.999,0.982,0.941,0.906
155,1.0,0.991,0.941,0.873,0.823,0.79
156,1.0,1.0,0.993,0.985,0.962,0.936
157,1.0,0.999,0.961,0.918,0.894,0.871
158,1.0,1.0,0.999,0.986,0.947,0.916
159,0.936,0.838,0.735,0.733,0.657,0.699
160,1.0,0.995,0.988,0.977,0.975,0.964
161,1.0,1.0,0.989,0.95,0.914,0.865
162,1.0,1.0,1.0,1.0,0.994,0.981
163,0.973,0.926,0.873,0.834,0.805,0.787
164,1.0,1.0,0.995,0.973,0.958,0.929
165,1.0,0.997,0.932,0.896,0.858,0.84
166,1.0,1.0,0.996,0.975,0.945,0.922
167,1.0,0.979,0.903,0.857,0.822,0.781
168,1.0,0.99,0.914,0.797,0.776,0.696
169,0.999,0.96,0.841,0.778,0.738,0.72
170,1.0,0.977,0.906,0.809,0.805,0.771
171,1.0,1.0,0.999,0.995,0.982,0.963
172,1.0,0.99,0.964,0.93,0.893,0.874
173,1.0,1.0,0.938,0.868,0.835,0.813
174,1.0,1.0,0.996,0.975,0.94,0.921
175,1.0,0.996,0.939,0.853,0.802,0.772
176,1.0,0.999,0.966,0.937,0.892,0.874
177,1.0,1.0,0.992,0.948,0.916,0.897
178,1.0,1.0,0.998,0.991,0.969,0.938
179,1.0,1.0,0.998,0.978,0.948,0.903
180,1.0,1.0,0.985,0.954,0.916,0.904
181,1.0,1.0,0.997,0.971,0.955,0.931
182,1.0,1.0,0.996,0.974,0.935,0.909
183,0.928,0.81,0.704,0.646,0.599,0.628
184,0.864,0.801,0.728,0.687,0.686,0.67
185,0.941,0.873,0.794,0.71,0.696,0.648
186,0.984,0.896,0.79,0.724,0.67,0.706
187,0.304,0.311,0.411,0.468,0.453,0.498
188,1.0,0.993,0.931,0.885,0.878,0.845
189,1.0,1.0,0.999,0.997,0.985,0.966
190,1.0,1.0,0.998,0.98,0.962,0.924
191,1.0,1.0,1.0,0.994,0.967,0.949
192,1.0,1.0,0.995,0.975,0.939,0.917
193,1.0,1.0,1.0,0.998,0.989,0.973
194,1.0,0.954,0.866,0.78,0.756,0.707
195,1.0,1.0,1.0,0.996,0.976,0.951
196,1.0,1.0,1.0,0.991,0.966,0.91
197,1.0,1.0,1.0,0.994,0.984,0.958
198,0.958,0.92,0.872,0.851,0.83,0.811
199,1.0,1.0,0.992,0.968,0.939,0.918
200,0.9,0.826,0.757,0.704,0.671,0.664
201,1.0,0.999,0.935,0.858,0.808,0.804
202,1.0,0.999,0.993,0.99,0.975,0.949
203,0.93,0.842,0.734,0.696,0.67,0.644
204,1.0,1.0,0.999,0.997,0.989,0.966
205,0.046,0.138,0.269,0.328,0.375,0.383
206,1.0,0.991,0.963,0.914,0.876,0.858
207,0.698,0.637,0.592,0.561,0.564,0.547
208,0.999,0.986,0.879,0.838,0.786,0.761
209,1.0,1.0,0.987,0.978,0.958,0.933
210,1.0,1.0,1.0,0.989,0.964,0.941
211,1.0,0.985,0.887,0.826,0.799,0.774
212,1.0,1.0,0.994,0.971,0.942,0.923
213,1.0,1.0,0.999,0.997,0.993,0.964
214,1.0,0.997,0.955,0.946,0.885,0.865
215,1.0,1.0,0.999,0.994,0.99,0.966
216,0.859,0.786,0.703,0.664,0.655,0.657
217,1.0,1.0,0.996,0.992,0.979,0.951
218,1.0,0.995,0.933,0.874,0.837,0.801
219,1.0,1.0,1.0,0.993,0.983,0.95
220,0.998,0.951,0.829,0.757,0.748,0.72
221,1.0,1.0,0.995,0.973,0.937,0.899
222,1.0,0.995,0.927,0.849,0.81,0.773
223,1.0,1.0,0.963,0.899,0.864,0.819
224,1.0,0.991,0.985,0.943,0.885,0.832
225,1.0,1.0,1.0,0.995,0.996,0.99
226,0.986,0.902,0.803,0.814,0.772,0.721
227,1.0,0.994,0.925,0.867,0.837,0.839
228,1.0,1.0,0.996,0.989,0.965,0.948
229,0.998,0.96,0.874,0.798,0.743,0.729
230,1.0,1.0,0.952,0.902,0.865,0.847
231,1.0,1.0,0.997,0.995,0.967,0.946
232,1.0,0.993,0.947,0.881,0.825,0.801
233,1.0,0.979,0.948,0.915,0.895,0.875
234,1.0,0.999,0.936,0.907,0.882,0.836
235,1.0,1.0,0.993,0.971,0.948,0.923
236,1.0,1.0,1.0,0.996,0.98,0.944
237,1.0,1.0,0.995,0.979,0.935,0.899
238,0.962,0.865,0.747,0.668,0.641,0.619
239,1.0,1.0,0.996,0.991,0.97,0.965
240,1.0,0.999,0.987,0.97,0.943,0.888
241,1.0,1.0,0.998,0.984,0.941,0.924
242,1.0,1.0,1.0,0.999,0.998,0.989
243,1.0,0.999,0.99,0.975,0.971,0.938
244,0.974,0.882,0.819,0.757,0.711,0.681
245,1.0,1.0,1.0,0.997,0.986,0.967
246,0.946,0.921,0.859,0.813,0.792,0.732
247,1.0,1.0,1.0,1.0,0.995,0.988
248,1.0,0.998,0.974,0.93,0.901,0.874
249,1.0,1.0,1.0,0.989,0.964,0.955
