,0.05,0.1,0.2,0.3,0.4,0.5
0,0.975,0.9,0.803,0.743,0.688,0.665
1,1.0,0.994,0.947,0.903,0.826,0.817
2,1.0,1.0,0.998,0.979,0.958,0.917
3,0.0,0.012,0.124,0.235,0.295,0.379
4,1.0,1.0,0.994,0.969,0.933,0.93
5,1.0,1.0,0.999,0.977,0.952,0.917
6,1.0,1.0,0.992,0.959,0.935,0.905
7,1.0,0.993,0.975,0.95,0.898,0.907
8,0.901,0.8,0.702,0.654,0.639,0.588
9,1.0,0.996,0.912,0.827,0.775,0.763
10,0.0,0.014,0.137,0.191,0.208,0.244
11,0.998,0.987,0.895,0.817,0.805,0.77
12,0.634,0.565,0.565,0.572,0.53,0.535
13,1.0,0.98,0.883,0.843,0.806,0.76
14,1.0,1.0,0.993,0.967,0.935,0.924
15,1.0,0.988,0.904,0.807,0.721,0.717
16,1.0,0.983,0.902,0.823,0.746,0.689
17,0.0,0.017,0.112,0.215,0.308,0.378
18,0.89,0.802,0.687,0.654,0.599,0.594
19,1.0,0.995,0.939,0.878,0.88,0.812
20,1.0,1.0,0.999,0.99,0.983,0.966
21,1.0,1.0,0.997,0.98,0.967,0.958
22,1.0,0.993,0.938,0.881,0.832,0.786
23,1.0,0.997,0.961,0.889,0.808,0.783
24,1.0,1.0,1.0,1.0,0.997,0.991
25,1.0,0.998,0.955,0.902,0.862,0.85
26,1.0,0.998,0.982,0.949,0.917,0.885
27,1.0,1.0,0.987,0.96,0.914,0.893
28,1.0,1.0,1.0,0.992,0.983,0.954
29,0.995,0.958,0.808,0.733,0.68,0.637
30,1.0,1.0,0.999,0.994,0.98,0.943
31,1.0,1.0,0.995,0.974,0.923,0.924
32,1.0,0.987,0.945,0.849,0.804,0.77
33,1.0,0.998,0.976,0.932,0.898,0.849
34,0.999,0.962,0.869,0.797,0.742,0.709
35,1.0,0.998,0.931,0.875,0.83,0.773
36,0.555,0.499,0.482,0.498,0.483,0.487
37,0.982,0.912,0.796,0.711,0.663,0.606
38,1.0,1.0,1.0,0.991,0.953,0.933
39,1.0,0.983,0.879,0.807,0.739,0.719
40,0.005,0.043,0.162,0.214,0.247,0.285
41,1.0,0.997,0.969,0.908,0.869,0.819
42,1.0,1.0,0.991,0.959,0.939,0.899
43,1.0,0.993,0.927,0.833,0.797,0.747
44,1.0,1.0,0.98,0.942,0.911,0.859
45,1.0,0.991,0.897,0.833,0.791,0.745
46,0.724,0.704,0.695,0.689,0.679,0.647
47,1.0,0.999,0.939,0.892,0.871,0.837
48,1.0,0.993,0.927,0.882,0.821,0.778
49,1.0,1.0,0.999,0.982,0.953,0.924
50,1.0,0.999,0.977,0.944,0.907,0.865
51,0.995,0.956,0.83,0.718,0.687,0.641
52,1.0,1.0,0.997,0.986,0.969,0.936
53,0.164,0.288,0.381,0.451,0.477,0.499
54,0.121,0.223,0.328,0.393,0.426,0.457
55,0.99,0.885,0.69,0.626,0.611,0.599
56,0.989,0.876,0.727,0.683,0.671,0.632
57,1.0,0.998,0.963,0.881,0.817,0.779
58,0.001,0.038,0.124,0.201,0.239,0.3
59,0.999,0.995,0.983,0.965,0.927,0.904
60,1.0,1.0,0.999,0.988,0.971,0.964
61,1.0,1.0,0.969,0.935,0.87,0.857
62,1.0,0.994,0.966,0.925,0.893,0.849
63,1.0,0.988,0.918,0.863,0.816,0.781
64,1.0,1.0,1.0,0.999,0.992,0.977
65,0.96,0.891,0.881,0.851,0.852,0.855
66,1.0,1.0,1.0,0.994,0.967,0.948
67,1.0,0.992,0.933,0.848,0.803,0.761
68,0.981,0.9,0.815,0.734,0.723,0.703
69,1.0,1.0,1.0,0.996,0.977,0.959
70,0.98,0.876,0.757,0.697,0.685,0.664
71,1.0,1.0,1.0,1.0,0.998,0.986
72,1.0,1.0,1.0,0.996,0.981,0.967
73,1.0,1.0,1.0,0.998,0.967,0.962
74,0.0,0.001,0.027,0.075,0.092,0.139
75,1.0,0.991,0.894,0.823,0.768,0.718
76,0.0,0.0,0.004,0.036,0.061,0.099
77,0.306,0.387,0.444,0.452,0.468,0.467
78,1.0,0.999,0.952,0.877,0.807,0.752
79,1.0,0.997,0.945,0.91,0.852,0.817
80,1.0,0.987,0.923,0.825,0.776,0.753
81,1.0,1.0,0.991,0.95,0.909,0.852
82,0.351,0.382,0.445,0.443,0.44,0.464
83,0.056,0.158,0.344,0.403,0.441,0.414
84,0.575,0.657,0.692,0.675,0.654,0.596
85,1.0,1.0,0.956,0.887,0.832,0.781
86,0.98,0.925,0.85,0.819,0.78,0.775
87,1.0,1.0,0.994,0.978,0.95,0.923
88,1.0,1.0,0.989,0.957,0.911,0.883
89,0.609,0.546,0.511,0.529,0.507,0.485
90,1.0,0.969,0.878,0.79,0.756,0.713
91,0.0,0.007,0.064,0.1,0.14,0.205
92,1.0,1.0,0.987,0.965,0.933,0.913
93,1.0,1.0,1.0,0.996,0.984,0.956
94,0.891,0.78,0.708,0.658,0.677,0.676
95,1.0,1.0,1.0,0.994,0.992,0.973
96,1.0,1.0,0.998,0.984,0.959,0.929
97,1.0,0.998,0.966,0.941,0.907,0.901
98,0.963,0.851,0.692,0.658,0.642,0.606
99,1.0,1.0,1.0,0.999,0.993,0.982
100,0.683,0.671,0.652,0.655,0.625,0.646
101,1.0,1.0,1.0,0.996,0.993,0.977
102,1.0,0.988,0.925,0.839,0.817,0.784
103,1.0,0.985,0.916,0.858,0.817,0.749
104,0.001,0.012,0.079,0.184,0.225,0.278
105,1.0,1.0,0.992,0.943,0.883,0.82
106,0.226,0.297,0.312,0.35,0.353,0.367
107,1.0,1.0,0.999,0.992,0.98,0.949
108,1.0,1.0,1.0,0.995,0.983,0.962
109,1.0,1.0,0.999,0.978,0.945,0.891
110,1.0,0.994,0.93,0.854,0.796,0.785
111,1.0,1.0,0.999,0.995,0.983,0.96
112,1.0,1.0,1.0,0.991,0.977,0.965
113,1.0,1.0,1.0,0.999,0.995,0.983
114,1.0,1.0,1.0,0.996,0.995,0.982
115,1.0,0.998,0.958,0.886,0.832,0.761
116,0.087,0.196,0.35,0.444,0.506,0.514
117,1.0,1.0,1.0,0.999,0.994,0.979
118,1.0,1.0,1.0,0.998,0.983,0.958
119,1.0,1.0,1.0,1.0,0.996,0.991
120,1.0,0.999,0.956,0.889,0.826,0.789
